age,nettohh,female,educ_low,educ_med,educ_high,occup_market,occup_house,occup_retired,occup_else,partner,nkids,ID,e_star,e_double_star
34,1650,0,0,0,0,0,0,0,1,1,2,1,0.807108911663818,0.683662118586653
34,1650,0,0,0,1,0,0,0,1,1,0,2,0.9981621756815,0.969081235081831
34,1650,0,0,0,1,1,0,0,0,0,0,3,0.533716867117619,0.380721635556256
34,1650,0,0,0,1,1,0,0,0,1,0,4,1,0.952342289609078
34,1650,0,0,0,1,1,0,0,0,1,1,5,1,0.99430359435064
34,1650,0,0,0,1,1,0,0,0,1,2,6,0.612840889349172,0.390307451794797
34,1650,0,0,1,0,0,0,0,1,0,0,7,0.932466585036309,0.882606912178744
34,1650,0,0,1,0,0,0,0,1,1,0,8,1,1
34,1650,0,0,1,0,0,0,0,1,1,2,9,0.685802284548117,0.304009717139706
34,1650,0,0,1,0,1,0,0,0,0,0,10,0.642325961969618,0.430757371643267
34,1650,0,0,1,0,1,0,0,0,1,1,11,0.876499285142927,0.703325369344384
34,1650,0,0,1,0,1,0,0,0,1,2,12,0.599507001628808,0.517634121431911
34,1650,0,1,0,0,0,0,0,1,1,1,13,0.734886340920639,0.429905692952161
34,1650,0,1,0,0,0,0,0,1,1,2,14,0.330203284385789,0.124267291910655
34,1650,0,1,0,0,1,0,0,0,0,0,15,0.991316137784452,0.899441452427709
34,1650,0,1,0,0,1,0,0,0,1,2,16,0.578077006917738,0.536208046825777
34,1650,1,0,0,1,0,0,0,1,0,0,17,0.781149119524343,0.48210648821987
34,1650,1,0,0,1,0,0,0,1,0,2,18,0.997293988919409,0.972311212819477
34,1650,1,0,0,1,0,0,0,1,1,0,19,0.994085489212011,0.960462163529883
34,1650,1,0,0,1,0,1,0,0,1,1,20,1,0.489774291003414
34,1650,1,0,0,1,0,1,0,0,1,2,21,0.507833184041374,0.478792382280517
34,1650,1,0,0,1,1,0,0,0,0,0,22,0.611777970399999,0.467651262508298
34,1650,1,0,0,1,1,0,0,0,1,0,23,0.844820055899618,0.742600556543039
34,1650,1,0,0,1,1,0,0,0,1,1,24,0.997757867524342,0.992641810931673
34,1650,1,0,0,1,1,0,0,0,1,2,25,0.880311515218636,0.648779535251379
34,1650,1,0,1,0,0,0,0,1,0,0,26,0.806878519717429,0.68379807878955
34,1650,1,0,1,0,0,0,0,1,1,0,27,0.995579071830434,0.994081512289995
34,1650,1,0,1,0,0,0,0,1,1,2,28,1,1
34,1650,1,0,1,0,0,1,0,0,1,2,29,0.812825377412082,0.495750293084711
34,1650,1,0,1,0,1,0,0,0,0,0,30,0.719288350483112,0.700712385201768
34,1650,1,0,1,0,1,0,0,0,0,2,31,0.976966800844821,0.945928670895228
34,1650,1,0,1,0,1,0,0,0,1,0,32,0.935728382210073,0.878349941449414
34,1650,1,0,1,0,1,0,0,0,1,1,33,0.46969072974025,0.428676566087233
34,1650,1,0,1,0,1,0,0,0,1,2,34,0.416878733485646,0.293245626926364
34,1650,1,1,0,0,0,0,0,1,0,1,35,0.984066922632337,0.963481301681895
34,1650,1,1,0,0,0,0,0,1,1,1,36,0.977168378485658,0.884097775335249
34,1650,1,1,0,0,0,0,0,1,1,2,37,0.548301148424798,0.496481290210795
34,1650,1,1,0,0,0,1,0,0,0,2,38,1,1
34,1650,1,1,0,0,0,1,0,0,1,2,39,0.555851589866506,0.217552533991693
34,1650,1,1,0,0,1,0,0,0,0,0,40,1,1
34,1650,1,1,0,0,1,0,0,0,1,2,41,0.60788381742168,0.480989399286045
34,2525,0,0,0,0,0,0,0,1,1,2,42,0.970963428808318,0.44184875641804
34,2525,0,0,0,1,0,0,0,1,1,2,43,1,0.136645962738839
34,2525,0,0,0,1,1,0,0,0,0,0,44,0.676043863342784,0.676043863342784
34,2525,0,0,0,1,1,0,0,0,1,0,45,0.922481916633842,0.919929857111129
34,2525,0,0,0,1,1,0,0,0,1,1,46,0.712972393281234,0.589426086960884
34,2525,0,0,0,1,1,0,0,0,1,2,47,0.575466785208846,0.451432986454165
34,2525,0,0,1,0,0,0,0,1,1,1,48,0.927252488218073,0.793742848232796
34,2525,0,0,1,0,0,0,0,1,1,2,49,0.767017017024045,0.723296075499093
34,2525,0,0,1,0,1,0,0,0,0,0,50,0.765614744283084,0.660947367148765
34,2525,0,0,1,0,1,0,0,0,0,2,51,1,0.259627329192881
34,2525,0,0,1,0,1,0,0,0,1,0,52,0.54772365703684,0.407420903713501
34,2525,0,0,1,0,1,0,0,0,1,1,53,0.708988628110092,0.53067678683874
34,2525,0,0,1,0,1,0,0,0,1,2,54,0.656464593754208,0.615669574406638
34,2525,0,1,0,0,0,0,0,1,0,2,55,0.970231090417656,0.948487265275617
34,2525,0,1,0,0,0,0,0,1,1,1,56,0.810799506907642,0.810799506907642
