Subject,Observation,X,Y,X-intercept,Y-intercept,X_old,Y_old,income_before,income_after,abs_delta
201,1,70.20191727790518,10.40549048655551,100.0,34.92,70.2,10.4,0.999823596792669,1.0,0.0058156166639410254
201,2,10.0,40.0,20.0,80.0,10.0,40.0,1.0,1.0,0.0
201,3,29.99793189208728,29.997823360612205,61.57,58.5,30.0,30.0,1.0000707970498455,0.9999999999999999,0.003002470543261736
201,4,69.60746291628705,19.810948051591495,98.67,67.26,69.6,19.8,0.9997615927880055,0.9999999999999999,0.013249715210433687
201,5,40.0,40.0,80.0,80.0,40.0,40.0,1.0,1.0,0.0
201,6,60.0,10.0,100.0,25.0,60.0,10.0,1.0,1.0,0.0
201,7,30.0,30.0,60.0,60.0,30.0,30.0,1.0,1.0,0.0
201,8,10.236651206058799,59.01788120715594,39.03,80.0,10.2,59.0,0.998837432744043,1.0,0.040780491352092975
201,9,59.620748111443746,9.94252751512938,80.0,39.03,59.6,9.9,0.998651037663336,1.0,0.04731885112258731
201,10,10.40549048655551,70.20191727790518,34.92,100.0,10.4,70.2,0.999823596792669,1.0,0.0058156166639410254
201,11,59.83767458806831,9.655261040972348,74.0,50.45,59.8,9.6,0.9983955213885838,1.0,0.06688166591424514
201,12,10.0,60.0,25.0,100.0,10.0,60.0,1.0,1.0,0.0
201,13,39.99871962920711,39.99878356977046,78.0,82.1,40.0,40.0,1.0000312314563229,1.0,0.0017660837665942866
201,14,25.21706726641049,37.01163572419472,50.45,74.0,25.2,37.0,0.9995044598612488,1.0,0.020656274113744925
201,15,80.02285713990318,9.746848001441236,100.0,48.79,80.0,9.7,0.9988112318097971,1.0,0.05212661588470647
201,16,10.237074539071596,79.01808866761303,48.79,100.0,10.2,79.0,0.9990592334494774,0.9999999999999999,0.04125192532944348
201,17,51.00879369643133,10.125178801521356,80.0,27.94,51.0,10.1,0.9989889047959915,1.0,0.02667022952616441
201,18,10.203101325194858,83.70211406843627,67.26,98.67,10.2,83.7,0.9999324648512098,1.0,0.0037533322951079696
201,19,39.01176470588235,10.24705882352941,80.0,20.0,39.0,10.2,0.9975,1.0,0.04850712500726556
201,20,29.21878738546089,30.817850609866202,58.5,61.57,29.2,30.8,0.9993889242874139,1.0,0.025915441826281194
201,21,39.99878356977046,39.99871962920711,82.1,78.0,40.0,40.0,1.0000312314563229,1.0,0.0017660837665942866
201,22,10.020922915600492,51.30730732827347,27.94,80.0,10.0,51.3,0.9991598067287043,1.0,0.022162252677053386
202,1,25.880841610301236,25.88241010968281,100.0,34.92,25.88,25.88,0.9999225658648339,1.0,0.002552829133005329
202,2,16.0,16.0,20.0,80.0,16.0,16.0,1.0,1.0,0.0
202,3,29.99793189208728,29.997823360612205,61.57,58.5,30.0,30.0,1.0000707970498455,0.9999999999999999,0.003002470543261736
202,4,39.99690672449687,39.995462184152636,98.67,67.26,40.0,40.0,1.0000988164894615,1.0,0.005491823558971064
202,5,40.0,40.0,80.0,80.0,40.0,40.0,1.0,1.0,0.0
202,6,20.0,20.0,100.0,25.0,20.0,20.0,1.0,1.0,0.0
202,7,30.0,30.0,60.0,60.0,30.0,30.0,1.0,1.0,0.0
202,8,26.23245452016333,26.231197499024685,39.03,80.0,26.23,26.23,0.9999221432231618,1.0,0.002731057148122392
202,9,26.231197499024685,26.23245452016333,80.0,39.03,26.23,26.23,0.9999221432231618,1.0,0.002731057148122392
202,10,25.88241010968281,25.880841610301236,34.92,100.0,25.88,25.88,0.9999225658648339,1.0,0.002552829133005329
202,11,29.998742083870837,29.99815489011778,74.0,50.45,30.0,30.0,1.0000535719068921,0.9999999999999998,0.0022331107150043127
202,12,20.0,20.0,25.0,100.0,20.0,20.0,1.0,1.0,0.0
202,13,39.99871962920711,39.99878356977046,78.0,82.1,40.0,40.0,1.0000312314563229,1.0,0.0017660837665942866
202,14,29.99815489011778,29.998742083870837,50.45,74.0,30.0,30.0,1.0000535719068921,0.9999999999999998,0.0022331107150043127
